new_index,threads,files, per_requests,sequential_percent,identifiers,requests_bytes,inter_time,process_time,seed,generate_time,all_requests,thoughput,aioli,mlf,noop,sjf,to,toagg,twins,new_index
0,100,50,40,50,4,1048576,100,10000,1,193776037,4000,20642,1,,,,,,,0
1,100,50,40,50,4,1048576,100,10000,1,195266273,4000,20484,1,,,,,,,1
2,100,50,40,50,4,1048576,100,10000,1,195388242,4000,20472,1,,,,,,,2
3,100,50,40,50,4,1048576,100,10000,1,196938274,4000,20310,1,,,,,,,3
4,100,50,40,50,4,1048576,100,10000,1,199909052,4000,20009,1,,,,,,,4
5,100,50,40,50,4,1048576,100,10000,1,197119207,4000,20292,1,,,,,,,5
6,100,50,40,50,4,1048576,100,10000,1,198013687,4000,20200,1,,,,,,,6
7,100,50,40,50,4,1048576,100,10000,1,197920330,4000,20210,1,,,,,,,7
8,100,50,40,50,4,1048576,100,10000,1,201455139,4000,19855,1,,,,,,,8
9,100,50,40,50,4,1048576,100,10000,1,203284594,4000,19676,1,,,,,,,9
10,100,50,40,50,4,1048576,1000,10000,1,193009622,4000,20724,1,,,,,,,10
11,100,50,40,50,4,1048576,1000,10000,1,198178289,4000,20183,1,,,,,,,11
12,100,50,40,50,4,1048576,1000,10000,1,197498252,4000,20253,1,,,,,,,12
13,100,50,40,50,4,1048576,1000,10000,1,198525565,4000,20148,1,,,,,,,13
14,100,50,40,50,4,1048576,1000,10000,1,198164094,4000,20185,1,,,,,,,14
15,100,50,40,50,4,1048576,1000,10000,1,200607617,4000,19939,1,,,,,,,15
16,100,50,40,50,4,1048576,1000,10000,1,200213427,4000,19978,1,,,,,,,16
17,100,50,40,50,4,1048576,1000,10000,1,197826467,4000,20219,1,,,,,,,17
18,100,50,40,50,4,1048576,1000,10000,1,199996245,4000,20000,1,,,,,,,18
19,100,50,40,50,4,1048576,1000,10000,1,203318851,4000,19673,1,,,,,,,19
20,100,50,40,50,4,1048576,10000,10000,1,199013327,4000,20099,1,,,,,,,20
21,100,50,40,50,4,1048576,10000,10000,1,198075830,4000,20194,1,,,,,,,21
22,100,50,40,50,4,1048576,10000,10000,1,199806833,4000,20019,1,,,,,,,22
23,100,50,40,50,4,1048576,10000,10000,1,198692987,4000,20131,1,,,,,,,23
24,100,50,40,50,4,1048576,10000,10000,1,198425534,4000,20158,1,,,,,,,24
25,100,50,40,50,4,1048576,10000,10000,1,201056561,4000,19894,1,,,,,,,25
26,100,50,40,50,4,1048576,10000,10000,1,202698940,4000,19733,1,,,,,,,26
27,100,50,40,50,4,1048576,10000,10000,1,202183247,4000,19784,1,,,,,,,27
28,100,50,40,50,4,1048576,10000,10000,1,202712219,4000,19732,1,,,,,,,28
29,100,50,40,50,4,1048576,10000,10000,1,207324815,4000,19293,1,,,,,,,29
30,100,50,40,50,4,1048576,100000,10000,1,192890228,4000,20737,1,,,,,,,30
31,100,50,40,50,4,1048576,100000,10000,1,195110205,4000,20501,1,,,,,,,31
32,100,50,40,50,4,1048576,100000,10000,1,196134222,4000,20394,1,,,,,,,32
33,100,50,40,50,4,1048576,100000,10000,1,197539702,4000,20249,1,,,,,,,33
34,100,50,40,50,4,1048576,100000,10000,1,193625753,4000,20658,1,,,,,,,34
