,noop,aioli,mlf,sjf,to,toagg,twins
100ns,1787.1818181818182,20261.272727272728,23278.909090909092,24321.363636363636,23680.545454545456,11908.0,23335.0
1us,1792.909090909091,20127.363636363636,23380.272727272728,24021.81818181818,23361.81818181818,11933.09090909091,23319.272727272728
10us,1786.3636363636363,19979.454545454544,23140.272727272728,24043.363636363636,23342.272727272728,11844.0,23200.545454545456
100us,1826.909090909091,20276.18181818182,23720.272727272728,23947.727272727272,23465.545454545456,11713.727272727272,23350.727272727272
1ms,3893.818181818182,20224.727272727272,21787.545454545456,24186.18181818182,23222.18181818182,12682.727272727272,23791.0
