new_index,threads,files, per_requests,sequential_percent,identifiers,requests_bytes,inter_time,process_time,seed,generate_time,all_requests,thoughput,aioli,mlf,noop,sjf,to,toagg,twins,new_index
0,100,50,10,50,4,1048576,10000,10000,1,45305974,1000,22072,1,,,,,,,0
1,100,50,10,50,4,1048576,10000,10000,1,45490950,1000,21982,1,,,,,,,1
2,100,50,10,50,4,1048576,10000,10000,1,46624150,1000,21448,1,,,,,,,2
3,100,50,10,50,4,1048576,10000,10000,1,46714924,1000,21406,1,,,,,,,3
4,100,50,10,50,4,1048576,10000,10000,1,47184193,1000,21193,1,,,,,,,4
5,100,50,10,50,4,1048576,10000,10000,1,47435856,1000,21081,1,,,,,,,5
6,100,50,10,50,4,1048576,10000,10000,1,49113378,1000,20361,1,,,,,,,6
7,100,50,10,50,4,1048576,10000,10000,1,48186056,1000,20752,1,,,,,,,7
8,100,50,10,50,4,1048576,10000,10000,1,49324535,1000,20273,1,,,,,,,8
9,100,50,10,50,4,1048576,10000,10000,1,49999701,1000,20000,1,,,,,,,9
10,100,50,20,50,4,1048576,10000,10000,1,90421555,2000,22118,1,,,,,,,10
11,100,50,20,50,4,1048576,10000,10000,1,93114388,2000,21478,1,,,,,,,11
12,100,50,20,50,4,1048576,10000,10000,1,91618735,2000,21829,1,,,,,,,12
13,100,50,20,50,4,1048576,10000,10000,1,91760785,2000,21795,1,,,,,,,13
14,100,50,20,50,4,1048576,10000,10000,1,92938384,2000,21519,1,,,,,,,14
15,100,50,20,50,4,1048576,10000,10000,1,92841045,2000,21542,1,,,,,,,15
16,100,50,20,50,4,1048576,10000,10000,1,93094795,2000,21483,1,,,,,,,16
17,100,50,20,50,4,1048576,10000,10000,1,93611799,2000,21364,1,,,,,,,17
18,100,50,20,50,4,1048576,10000,10000,1,93984901,2000,21280,1,,,,,,,18
19,100,50,20,50,4,1048576,10000,10000,1,93139162,2000,21473,1,,,,,,,19
20,100,50,40,50,4,1048576,10000,10000,1,192610949,4000,20767,1,,,,,,,20
21,100,50,40,50,4,1048576,10000,10000,1,192337060,4000,20796,1,,,,,,,21
22,100,50,40,50,4,1048576,10000,10000,1,194582247,4000,20556,1,,,,,,,22
