,noop,aioli,mlf,sjf,to,toagg,twins
10,1977.0,21153.272727272728,21420.363636363636,23553.727272727272,22529.727272727272,17381.363636363636,22052.0
20,1819.5454545454545,21513.454545454544,23407.090909090908,23570.909090909092,23381.636363636364,14860.181818181818,23171.090909090908
40,1818.090909090909,20085.636363636364,23668.81818181818,24050.636363636364,23787.81818181818,11632.09090909091,23186.18181818182
80,1925.7272727272727,16303.454545454546,23623.636363636364,24306.18181818182,23462.636363636364,7701.363636363636,23389.727272727272
160,4979.818181818182,10930.818181818182,20992.0,24079.0,22893.454545454544,6233.363636363636,23586.8
