new_index,threads,files, per_requests,sequential_percent,identifiers,requests_bytes,inter_time,process_time,seed,generate_time,all_requests,thoughput,aioli,mlf,noop,sjf,to,toagg,twins,new_index
0,100,50,40,50,4,1048576,10000,10000,1,196737643,4000,20331,1,,,,,,,0
1,100,50,40,50,4,1048576,10000,10000,1,197187035,4000,20285,1,,,,,,,1
2,100,50,40,50,4,1048576,10000,10000,1,196362937,4000,20370,1,,,,,,,2
3,100,50,40,50,4,1048576,10000,10000,1,199615995,4000,20038,1,,,,,,,3
4,100,50,40,50,4,1048576,10000,10000,1,199591452,4000,20040,1,,,,,,,4
5,100,50,40,50,4,1048576,10000,10000,1,203033075,4000,19701,1,,,,,,,5
6,100,50,40,50,4,1048576,10000,10000,1,204061127,4000,19601,1,,,,,,,6
7,100,50,40,50,4,1048576,10000,10000,1,204054878,4000,19602,1,,,,,,,7
8,100,50,40,50,4,1048576,10000,10000,1,205293802,4000,19484,1,,,,,,,8
9,100,50,40,50,4,1048576,10000,10000,1,207544932,4000,19272,1,,,,,,,9
10,100,50,40,50,4,1048576,10000,10000,1,194933199,4000,20519,1,,,,,,,10
11,100,50,40,50,4,1048576,10000,10000,1,197125814,4000,20291,1,,,,,,,11
12,100,50,40,50,4,1048576,10000,10000,1,197473706,4000,20255,1,,,,,,,12
13,100,50,40,50,4,1048576,10000,10000,1,197526314,4000,20250,1,,,,,,,13
14,100,50,40,50,4,1048576,10000,10000,1,200200064,4000,19980,1,,,,,,,14
15,100,50,40,50,4,1048576,10000,10000,1,198487086,4000,20152,1,,,,,,,15
16,100,50,40,50,4,1048576,10000,10000,1,200136041,4000,19986,1,,,,,,,16
17,100,50,40,50,4,1048576,10000,10000,1,200441221,4000,19955,1,,,,,,,17
18,100,50,40,50,4,1048576,10000,10000,1,200726793,4000,19927,1,,,,,,,18
19,100,50,40,50,4,1048576,10000,10000,1,203082420,4000,19696,1,,,,,,,19
20,100,50,40,50,4,1048576,10000,10000,1,195828575,4000,20426,1,,,,,,,20
21,100,50,40,50,4,1048576,10000,10000,1,195786126,4000,20430,1,,,,,,,21
22,100,50,40,50,4,1048576,10000,10000,1,198436691,4000,20157,1,,,,,,,22
