,noop,aioli,mlf,sjf,to,toagg,twins
1,1737.8181818181818,19931.18181818182,23364.454545454544,23989.81818181818,23678.636363636364,12248.363636363636,23503.0
5,1744.909090909091,20130.636363636364,23725.090909090908,24142.18181818182,23456.272727272728,11972.818181818182,23315.272727272728
25,1786.1818181818182,20128.545454545456,23363.363636363636,24035.0,23588.363636363636,11761.818181818182,22257.18181818182
125,1796.0,20066.81818181818,23004.454545454544,24071.636363636364,23755.18181818182,12112.09090909091,21808.909090909092
625,3781.090909090909,20452.0,21675.363636363636,24128.545454545456,22737.0,13104.545454545454,21395.6
