,NOOP,MLF,SJF,TO,TWINS
256KB,165.93799552504694,162.80219490569252,164.37116520118607,163.07074788300514,163.3469437116854
512KB,255.13135569067634,252.95806682067393,255.38562164762033,254.34951609866567,254.67009578182095
1MB,319.5935790598292,332.80085918088486,331.4739739087541,338.39280761949567,338.05195069107344
2MB,410.45291751412395,418.34863304856515,406.08395188211847,417.5380137417668,405.36379341971406
4MB,438.39584604713787,452.7006778485307,453.5252865986024,465.7316652040624,456.1645696840135
