,noop,aioli,mlf,sjf,to,toagg,twins
10:1,1800.7272727272727,19634.090909090908,19810.454545454544,24151.090909090908,23804.0,12470.363636363636,23560.454545454544
10:2,1801.5454545454545,20523.545454545456,22472.909090909092,24108.636363636364,23384.090909090908,12094.727272727272,23302.545454545456
10:5,1819.4545454545455,20112.81818181818,23473.727272727272,23950.18181818182,23246.090909090908,11954.636363636364,23396.727272727272
10:7,1846.8181818181818,19868.18181818182,23344.363636363636,24171.727272727272,23548.81818181818,11993.272727272728,23118.272727272728
10:10,3846.3636363636365,19731.18181818182,21957.090909090908,23963.18181818182,22373.909090909092,12599.363636363636,23594.7
