new_index,threads,files, per_requests,sequential_percent,identifiers,requests_bytes,inter_time,process_time,seed,generate_time,all_requests,thoughput,aioli,mlf,noop,sjf,to,toagg,twins,new_index
0,100,10,40,50,4,1048576,10000,10000,1,195922222,4000,20416,1,,,,,,,0
1,100,10,40,50,4,1048576,10000,10000,1,200322854,4000,19967,1,,,,,,,1
2,100,10,40,50,4,1048576,10000,10000,1,202217872,4000,19780,1,,,,,,,2
3,100,10,40,50,4,1048576,10000,10000,1,204648801,4000,19545,1,,,,,,,3
4,100,10,40,50,4,1048576,10000,10000,1,205073512,4000,19505,1,,,,,,,4
5,100,10,40,50,4,1048576,10000,10000,1,205452913,4000,19469,1,,,,,,,5
6,100,10,40,50,4,1048576,10000,10000,1,204861905,4000,19525,1,,,,,,,6
7,100,10,40,50,4,1048576,10000,10000,1,209686869,4000,19076,1,,,,,,,7
8,100,10,40,50,4,1048576,10000,10000,1,209722350,4000,19072,1,,,,,,,8
9,100,10,40,50,4,1048576,10000,10000,1,214883223,4000,18614,1,,,,,,,9
10,100,20,40,50,4,1048576,10000,10000,1,190413044,4000,21006,1,,,,,,,10
11,100,20,40,50,4,1048576,10000,10000,1,191193000,4000,20921,1,,,,,,,11
12,100,20,40,50,4,1048576,10000,10000,1,195179914,4000,20493,1,,,,,,,12
13,100,20,40,50,4,1048576,10000,10000,1,194404573,4000,20575,1,,,,,,,13
14,100,20,40,50,4,1048576,10000,10000,1,195894728,4000,20419,1,,,,,,,14
15,100,20,40,50,4,1048576,10000,10000,1,194313278,4000,20585,1,,,,,,,15
16,100,20,40,50,4,1048576,10000,10000,1,195873355,4000,20421,1,,,,,,,16
17,100,20,40,50,4,1048576,10000,10000,1,195716761,4000,20437,1,,,,,,,17
18,100,20,40,50,4,1048576,10000,10000,1,196941110,4000,20310,1,,,,,,,18
19,100,20,40,50,4,1048576,10000,10000,1,198516640,4000,20149,1,,,,,,,19
20,100,50,40,50,4,1048576,10000,10000,1,195661158,4000,20443,1,,,,,,,20
21,100,50,40,50,4,1048576,10000,10000,1,197502110,4000,20252,1,,,,,,,21
22,100,50,40,50,4,1048576,10000,10000,1,199838821,4000,20016,1,,,,,,,22
23,100,50,40,50,4,1048576,10000,10000,1,198631823,4000,20137,1,,,,,,,23
24,100,50,40,50,4,1048576,10000,10000,1,197921700,4000,20210,1,,,,,,,24
25,100,50,40,50,4,1048576,10000,10000,1,200143947,4000,19985,1,,,,,,,25
26,100,50,40,50,4,1048576,10000,10000,1,198076405,4000,20194,1,,,,,,,26
27,100,50,40,50,4,1048576,10000,10000,1,199843128,4000,20015,1,,,,,,,27
28,100,50,40,50,4,1048576,10000,10000,1,199107473,4000,20089,1,,,,,,,28
29,100,50,40,50,4,1048576,10000,10000,1,201124503,4000,19888,1,,,,,,,29
30,100,70,40,50,4,1048576,10000,10000,1,199870497,4000,20012,1,,,,,,,30
31,100,70,40,50,4,1048576,10000,10000,1,199431381,4000,20057,1,,,,,,,31
32,100,70,40,50,4,1048576,10000,10000,1,199774612,4000,20022,1,,,,,,,32
33,100,70,40,50,4,1048576,10000,10000,1,199618490,4000,20038,1,,,,,,,33
34,100,70,40,50,4,1048576,10000,10000,1,201499425,4000,19851,1,,,,,,,34
35,100,70,40,50,4,1048576,10000,10000,1,201174780,4000,19883,1,,,,,,,35
36,100,70,40,50,4,1048576,10000,10000,1,202403280,4000,19762,1,,,,,,,36
37,100,70,40,50,4,1048576,10000,10000,1,203868204,4000,19620,1,,,,,,,37
38,100,70,40,50,4,1048576,10000,10000,1,203417853,4000,19663,1,,,,,,,38
39,100,70,40,50,4,1048576,10000,10000,1,203696045,4000,19637,1,,,,,,,39
40,100,100,40,50,4,1048576,10000,10000,1,199945827,4000,20005,1,,,,,,,40
41,100,100,40,50,4,1048576,10000,10000,1,201668742,4000,19834,1,,,,,,,41
42,100,100,40,50,4,1048576,10000,10000,1,200170414,4000,19982,1,,,,,,,42
43,100,100,40,50,4,1048576,10000,10000,1,201259036,4000,19874,1,,,,,,,43
44,100,100,40,50,4,1048576,10000,10000,1,202617558,4000,19741,1,,,,,,,44
45,100,100,40,50,4,1048576,10000,10000,1,201641690,4000,19837,1,,,,,,,45
46,100,100,40,50,4,1048576,10000,10000,1,202069604,4000,19795,1,,,,,,,46
47,100,100,40,50,4,1048576,10000,10000,1,206271345,4000,19391,1,,,,,,,47
48,100,100,40,50,4,1048576,10000,10000,1,209342550,4000,19107,1,,,,,,,48
49,100,100,40,50,4,1048576,10000,10000,1,214337558,4000,18662,1,,,,,,,49
50,100,10,40,50,4,1048576,10000,10000,1,192167730,4000,20815,,1,,,,,,50
51,100,10,40,50,4,1048576,10000,10000,1,198312690,4000,20170,,1,,,,,,51
52,100,10,40,50,4,1048576,10000,10000,1,204012112,4000,19606,,1,,,,,,52
53,100,10,40,50,4,1048576,10000,10000,1,205253358,4000,19488,,1,,,,,,53
54,100,10,40,50,4,1048576,10000,10000,1,208430757,4000,19191,,1,,,,,,54
55,100,10,40,50,4,1048576,10000,10000,1,208128142,4000,19218,,1,,,,,,55
56,100,10,40,50,4,1048576,10000,10000,1,207635413,4000,19264,,1,,,,,,56
57,100,10,40,50,4,1048576,10000,10000,1,209894374,4000,19057,,1,,,,,,57
58,100,10,40,50,4,1048576,10000,10000,1,209664356,4000,19078,,1,,,,,,58
59,100,10,40,50,4,1048576,10000,10000,1,208409506,4000,19192,,1,,,,,,59
60,100,20,40,50,4,1048576,10000,10000,1,175158087,4000,22836,,1,,,,,,60
61,100,20,40,50,4,1048576,10000,10000,1,177436130,4000,22543,,1,,,,,,61
62,100,20,40,50,4,1048576,10000,10000,1,177288979,4000,22562,,1,,,,,,62
63,100,20,40,50,4,1048576,10000,10000,1,176338783,4000,22683,,1,,,,,,63
64,100,20,40,50,4,1048576,10000,10000,1,176781940,4000,22626,,1,,,,,,64
65,100,20,40,50,4,1048576,10000,10000,1,178852709,4000,22364,,1,,,,,,65
66,100,20,40,50,4,1048576,10000,10000,1,179303586,4000,22308,,1,,,,,,66
67,100,20,40,50,4,1048576,10000,10000,1,183105198,4000,21845,,1,,,,,,67
68,100,20,40,50,4,1048576,10000,10000,1,183388924,4000,21811,,1,,,,,,68
69,100,20,40,50,4,1048576,10000,10000,1,183963729,4000,21743,,1,,,,,,69
70,100,50,40,50,4,1048576,10000,10000,1,167491615,4000,23881,,1,,,,,,70
71,100,50,40,50,4,1048576,10000,10000,1,168481475,4000,23741,,1,,,,,,71
72,100,50,40,50,4,1048576,10000,10000,1,170598118,4000,23446,,1,,,,,,72
73,100,50,40,50,4,1048576,10000,10000,1,171060494,4000,23383,,1,,,,,,73
74,100,50,40,50,4,1048576,10000,10000,1,170001613,4000,23529,,1,,,,,,74
75,100,50,40,50,4,1048576,10000,10000,1,170589646,4000,23448,,1,,,,,,75
76,100,50,40,50,4,1048576,10000,10000,1,171178693,4000,23367,,1,,,,,,76
77,100,50,40,50,4,1048576,10000,10000,1,172080407,4000,23244,,1,,,,,,77
78,100,50,40,50,4,1048576,10000,10000,1,171782972,4000,23285,,1,,,,,,78
79,100,50,40,50,4,1048576,10000,10000,1,172971128,4000,23125,,1,,,,,,79
80,100,70,40,50,4,1048576,10000,10000,1,168335386,4000,23762,,1,,,,,,80
81,100,70,40,50,4,1048576,10000,10000,1,171152944,4000,23370,,1,,,,,,81
82,100,70,40,50,4,1048576,10000,10000,1,170730102,4000,23428,,1,,,,,,82
83,100,70,40,50,4,1048576,10000,10000,1,174152950,4000,22968,,1,,,,,,83
84,100,70,40,50,4,1048576,10000,10000,1,172693207,4000,23162,,1,,,,,,84
85,100,70,40,50,4,1048576,10000,10000,1,171776282,4000,23286,,1,,,,,,85
86,100,70,40,50,4,1048576,10000,10000,1,173440870,4000,23062,,1,,,,,,86
87,100,70,40,50,4,1048576,10000,10000,1,174063920,4000,22980,,1,,,,,,87
88,100,70,40,50,4,1048576,10000,10000,1,171142154,4000,23372,,1,,,,,,88
89,100,70,40,50,4,1048576,10000,10000,1,172978667,4000,23124,,1,,,,,,89
90,100,100,40,50,4,1048576,10000,10000,1,164784670,4000,24274,,1,,,,,,90
91,100,100,40,50,4,1048576,10000,10000,1,165318098,4000,24195,,1,,,,,,91
