,noop,aioli,mlf,sjf,to,toagg,twins
64KB,1783.8181818181818,20609.636363636364,23994.81818181818,24822.0,23905.090909090908,11787.545454545454,23512.272727272728
256KB,1821.7272727272727,20467.0,23722.636363636364,24465.81818181818,23721.363636363636,12088.09090909091,23397.272727272728
1MB,1835.7272727272727,20381.272727272728,23475.636363636364,24326.454545454544,23776.18181818182,12096.818181818182,23349.909090909092
4MB,1795.0,20517.81818181818,23599.909090909092,24449.909090909092,23711.454545454544,12827.727272727272,23279.636363636364
16MB,3848.3636363636365,21760.81818181818,21951.18181818182,24216.0,22452.090909090908,14660.545454545454,23814.7
