new_index,threads,files, per_requests,sequential_percent,identifiers,requests_bytes,inter_time,process_time,seed,generate_time,all_requests,thoughput,aioli,mlf,noop,sjf,to,toagg,twins,new_index
0,100,50,40,50,4,65536,10000,10000,1,189952142,4000,21057,1,,,,,,,0
1,100,50,40,50,4,65536,10000,10000,1,192859889,4000,20740,1,,,,,,,1
2,100,50,40,50,4,65536,10000,10000,1,193858602,4000,20633,1,,,,,,,2
3,100,50,40,50,4,65536,10000,10000,1,192805681,4000,20746,1,,,,,,,3
4,100,50,40,50,4,65536,10000,10000,1,192693968,4000,20758,1,,,,,,,4
5,100,50,40,50,4,65536,10000,10000,1,194058932,4000,20612,1,,,,,,,5
6,100,50,40,50,4,65536,10000,10000,1,193665624,4000,20654,1,,,,,,,6
7,100,50,40,50,4,65536,10000,10000,1,195949010,4000,20413,1,,,,,,,7
8,100,50,40,50,4,65536,10000,10000,1,195273078,4000,20484,1,,,,,,,8
9,100,50,40,50,4,65536,10000,10000,1,201334212,4000,19867,1,,,,,,,9
10,100,50,40,50,4,262144,10000,10000,1,192840638,4000,20742,1,,,,,,,10
11,100,50,40,50,4,262144,10000,10000,1,192690816,4000,20758,1,,,,,,,11
12,100,50,40,50,4,262144,10000,10000,1,194206320,4000,20596,1,,,,,,,12
13,100,50,40,50,4,262144,10000,10000,1,196085063,4000,20399,1,,,,,,,13
14,100,50,40,50,4,262144,10000,10000,1,194685114,4000,20545,1,,,,,,,14
15,100,50,40,50,4,262144,10000,10000,1,195420064,4000,20468,1,,,,,,,15
16,100,50,40,50,4,262144,10000,10000,1,196062819,4000,20401,1,,,,,,,16
17,100,50,40,50,4,262144,10000,10000,1,196290271,4000,20377,1,,,,,,,17
18,100,50,40,50,4,262144,10000,10000,1,198689438,4000,20131,1,,,,,,,18
19,100,50,40,50,4,262144,10000,10000,1,199524999,4000,20047,1,,,,,,,19
20,100,50,40,50,4,1048576,10000,10000,1,193486600,4000,20673,1,,,,,,,20
21,100,50,40,50,4,1048576,10000,10000,1,193216995,4000,20702,1,,,,,,,21
22,100,50,40,50,4,1048576,10000,10000,1,196031223,4000,20404,1,,,,,,,22
23,100,50,40,50,4,1048576,10000,10000,1,194512032,4000,20564,1,,,,,,,23
24,100,50,40,50,4,1048576,10000,10000,1,198612771,4000,20139,1,,,,,,,24
25,100,50,40,50,4,1048576,10000,10000,1,197696308,4000,20233,1,,,,,,,25
26,100,50,40,50,4,1048576,10000,10000,1,197847785,4000,20217,1,,,,,,,26
27,100,50,40,50,4,1048576,10000,10000,1,198694353,4000,20131,1,,,,,,,27
28,100,50,40,50,4,1048576,10000,10000,1,199457537,4000,20054,1,,,,,,,28
29,100,50,40,50,4,1048576,10000,10000,1,199679798,4000,20032,1,,,,,,,29
30,100,50,40,50,4,4194304,10000,10000,1,190060433,4000,21045,1,,,,,,,30
31,100,50,40,50,4,4194304,10000,10000,1,193476278,4000,20674,1,,,,,,,31
32,100,50,40,50,4,4194304,10000,10000,1,194615987,4000,20553,1,,,,,,,32
33,100,50,40,50,4,4194304,10000,10000,1,194684122,4000,20546,1,,,,,,,33
34,100,50,40,50,4,4194304,10000,10000,1,195957289,4000,20412,1,,,,,,,34
35,100,50,40,50,4,4194304,10000,10000,1,194933766,4000,20519,1,,,,,,,35
36,100,50,40,50,4,4194304,10000,10000,1,196343402,4000,20372,1,,,,,,,36
37,100,50,40,50,4,4194304,10000,10000,1,197444487,4000,20258,1,,,,,,,37
38,100,50,40,50,4,4194304,10000,10000,1,201109157,4000,19889,1,,,,,,,38
39,100,50,40,50,4,4194304,10000,10000,1,204629245,4000,19547,1,,,,,,,39
40,100,50,40,50,4,16777216,10000,10000,1,182803143,4000,21881,1,,,,,,,40
41,100,50,40,50,4,16777216,10000,10000,1,183209309,4000,21832,1,,,,,,,41
42,100,50,40,50,4,16777216,10000,10000,1,184036291,4000,21734,1,,,,,,,42
43,100,50,40,50,4,16777216,10000,10000,1,184301124,4000,21703,1,,,,,,,43
44,100,50,40,50,4,16777216,10000,10000,1,187757309,4000,21304,1,,,,,,,44
45,100,50,40,50,4,16777216,10000,10000,1,187444896,4000,21339,1,,,,,,,45
46,100,50,40,50,4,16777216,10000,10000,1,188163419,4000,21258,1,,,,,,,46
47,100,50,40,50,4,16777216,10000,10000,1,187997075,4000,21276,1,,,,,,,47
48,100,50,40,50,4,16777216,10000,10000,1,187210804,4000,21366,1,,,,,,,48
49,100,50,40,50,4,16777216,10000,10000,1,188055341,4000,21270,1,,,,,,,49
