,noop,aioli,mlf,sjf,to,toagg,twins
0%,1802.0,18353.18181818182,23966.909090909092,24471.636363636364,23758.636363636364,10351.272727272728,23551.81818181818
25%,1849.1818181818182,19557.272727272728,23693.727272727272,24221.363636363636,24151.454545454544,11547.818181818182,23611.636363636364
50%,1710.1818181818182,20450.909090909092,23301.81818181818,24542.727272727272,23940.363636363636,12354.90909090909,23895.090909090908
75%,1845.6363636363637,21483.0,24052.636363636364,24491.363636363636,23652.454545454544,13333.727272727272,23794.18181818182
100%,3867.2727272727275,22708.454545454544,21719.636363636364,24368.272727272728,22647.909090909092,15267.363636363636,23313.6
